iter	Passed	Remaining
817	6487	1443
818	6493	1435
819	6499	1426
820	6505	1418
821	6511	1410
822	6517	1401
823	6523	1393
824	6529	1384
825	6534	1376
826	6541	1368
827	6547	1360
828	6553	1351
829	6559	1343
830	6565	1335
831	6572	1327
832	6577	1318
833	6584	1310
834	6590	1302
835	6596	1294
836	6602	1285
837	6607	1277
838	6614	1269
839	6620	1260
840	6625	1252
841	6632	1244
842	6637	1236
843	6646	1228
844	6652	1220
845	6658	1212
846	6664	1203
847	6670	1195
848	6676	1187
849	6682	1179
850	6688	1171
851	6694	1162
852	6699	1154
853	6705	1146
854	6711	1138
855	6723	1131
856	6728	1122
857	6735	1114
858	6740	1106
859	6746	1098
860	6754	1090
861	6759	1082
862	6767	1074
863	6773	1066
864	6779	1058
865	6784	1049
866	6791	1041
867	6798	1033
868	6804	1025
869	6810	1017
870	6816	1009
871	6823	1001
872	6830	993
873	6837	985
874	6843	977
875	6849	969
876	6854	961
877	6860	953
878	6867	945
879	6872	937
880	6887	930
881	6895	922
882	6900	914
883	6906	906
884	6913	898
885	6918	890
886	6925	882
887	6931	874
888	6937	866
889	6943	858
890	6949	850
891	6957	842
892	6963	834
893	6972	826
894	6978	818
895	6985	810
896	6992	802
897	6999	795
898	7017	788
899	7023	780
900	7030	772
901	7036	764
902	7043	756
903	7050	748
904	7056	740
905	7062	732
906	7068	724
907	7074	716
908	7079	708
909	7085	700
910	7091	692
911	7097	684
912	7103	676
913	7109	668
914	7116	661
915	7122	653
916	7128	645
917	7134	637
918	7140	629
919	7147	621
920	7153	613
921	7159	605
922	7167	597
923	7173	590
924	7181	582
925	7187	574
926	7194	566
927	7200	558
928	7207	550
929	7213	542
930	7219	535
931	7226	527
932	7237	519
933	7244	511
934	7255	504
935	7262	496
936	7272	488
937	7281	481
938	7293	473
939	7300	465
940	7309	458
941	7332	451
942	7350	444
943	7369	437
944	7393	430
945	7461	425
946	7472	418
947	7481	410
948	7508	403
949	7526	396
950	7537	388
951	7548	380
952	7556	372
953	7564	364
954	7575	356
955	7583	349
956	7597	341
957	7605	333
958	7617	325
959	7626	317
960	7639	310
961	7648	302
962	7656	294
963	7666	286
964	7674	278
965	7686	270
966	7694	262
967	7707	254
968	7715	246
969	7722	238
970	7730	230
971	7737	222
972	7754	215
973	7760	207
974	7767	199
975	7784	191
976	7789	183
977	7796	175
978	7802	167
979	7808	159
980	7814	151
981	7819	143
982	7825	135
983	7830	127
984	7837	119
985	7844	111
986	7849	103
987	7856	95
988	7862	87
989	7867	79
990	7874	71
991	7880	63
992	7887	55
993	7892	47
994	7898	39
995	7904	31
996	7910	23
997	7916	15
998	7921	7
999	7927	0
